segment,n_points,type,method,linearity,planarity,sphericity,curvature_mean,normal_consistency,n_components,rmse,hausdorff_p95,chamfer,n_artifacts,watertight,n_vertices,n_triangles,file
6,330,complex,poisson,0.34232647419025647,0.3559405114173901,0.30173301439235345,0.08433336352820535,0.8980712273985421,18,0.02786799533375219,0.14050916917771109,0.0851632147969283,10,False,3734,7134,valve_0005_lidar_classes.ply
7,57,tube,ball_pivoting,0.981930050903804,0.0014071451483818602,0.016662803947814164,0.09983534820996981,0.8944481783513176,3,0.024015718785775107,0.0477936396518373,0.03014544610986791,3,False,57,32,valve_0005_lidar_classes.ply
8,1883,complex,poisson,0.4662864635148516,0.48809674770441697,0.0456167887807315,0.062232689442371814,0.9298934204606295,2,0.012052895672811424,0.05088871810507687,0.027246069290758256,3,False,5097,10091,valve_0005_lidar_classes.ply
9,896,complex,poisson,0.3927655277804304,0.5732224416536591,0.03401203056591053,0.0500866789452965,0.9477767282655991,2,0.01708471934292071,0.13645402885157915,0.06277949005001247,2,False,4456,8765,valve_0005_lidar_classes.ply
10,3455,complex,poisson,0.29868187442095784,0.4161967156146328,0.2851214099644094,0.04153017893283044,0.970162407045122,2,0.01152672636543014,0.07821112883083839,0.033096431121457895,4,False,9308,18401,valve_0005_lidar_classes.ply
11,749,plane,alpha_shape,0.2652534906440354,0.7122658357223671,0.022480673633597476,0.04110833219518473,0.964873308557416,3,0.012191965693644308,0.021632843327091665,0.021144754371372115,1,False,663,1422,valve_0005_lidar_classes.ply
12,1338,plane,alpha_shape,0.05668830584828301,0.8616962232154916,0.08161547093622547,0.04776140852255316,0.9590053599754075,1,0.012300944688894378,0.021690432130451572,0.022177610224597775,1,False,1068,2306,valve_0005_lidar_classes.ply
13,667,complex,poisson,0.09363459763963848,0.5635171849581366,0.34284821740222493,0.07145454545988256,0.905383842319568,1,0.01313876808817737,0.03482497571944782,0.024567186487482393,2,False,2893,5578,valve_0005_lidar_classes.ply
2,855,complex,poisson,0.05482479141948292,0.507837040680599,0.43733816789991814,0.08909056897935133,0.8756567975993217,16,0.022632012999222156,0.12615982325333586,0.08166110011045102,3,False,6654,12982,valve_0007_lidar_classes.ply
3,54,tube,ball_pivoting,0.8783957957261997,0.09940534504375517,0.022198859230045075,0.07872530471874419,0.8986688806377056,1,0.008109766461029183,0.025508473309676344,0.019379628615938303,1,False,54,73,valve_0007_lidar_classes.ply
5,1552,complex,poisson,0.2715695398328865,0.6475011424047157,0.08092931776239781,0.09930820349540181,0.8055398836906927,1,0.018952238515117386,0.18664967985396966,0.08340398384956477,4,False,6735,13258,valve_0007_lidar_classes.ply
6,249,complex,poisson,0.31276190980011787,0.2687824152996998,0.4184556749001823,0.060136464655286805,0.9168446009032947,19,0.03234993304616305,0.15001931587849485,0.10737617895820038,4,False,4573,8869,valve_0007_lidar_classes.ply
7,57,tube,ball_pivoting,0.7865341648694645,0.07177508643950925,0.14169074869102627,0.0791827211967846,0.8360005692046826,3,0.01730467293515514,0.0270276292700786,0.021126393635034525,2,False,57,72,valve_0007_lidar_classes.ply
8,1643,complex,poisson,0.4402789469014128,0.5226558874972776,0.037065165601309506,0.06352976648062464,0.9240997686865402,1,0.013435034005246366,0.07233704602175745,0.035280331438335824,1,False,4930,9712,valve_0007_lidar_classes.ply
9,1955,complex,poisson,0.25190936450028595,0.7019365397252987,0.04615409577441543,0.05657310105098171,0.939282761317992,1,0.012386192239575662,0.08574413479779566,0.03330127574516814,1,False,5792,11514,valve_0007_lidar_classes.ply
10,3741,complex,poisson,0.1255955785236944,0.4017204044288101,0.4726840170474955,0.041429070951317135,0.9693454203423638,4,0.011017158091525552,0.044284060448636524,0.02367129004857005,2,False,8387,16583,valve_0007_lidar_classes.ply
11,616,plane,alpha_shape,0.46520516356050085,0.5138505117135107,0.020944324725988422,0.03224482135270041,0.974774816489314,3,0.012270437142004873,0.021999470538739716,0.021252575252154342,1,False,546,1172,valve_0007_lidar_classes.ply
12,1266,plane,alpha_shape,0.14608540296638736,0.7896650756694047,0.06424952136420804,0.04818541491333705,0.9603230758013807,1,0.012141545704540261,0.02275263717175015,0.022041081357420216,2,False,1049,2266,valve_0007_lidar_classes.ply
13,672,complex,poisson,0.04224086107276937,0.5295255800013439,0.42823355892588677,0.07897793924272718,0.8939378798246888,2,0.012038992955253416,0.026398740845843316,0.02126911103218016,6,False,3021,5836,valve_0007_lidar_classes.ply
2,527,complex,poisson,0.12203803244609598,0.4454542971765907,0.43250767037731336,0.07214647546147177,0.8904433268219955,15,0.025447268122760353,0.1259460055356107,0.07770079280920722,9,False,3717,7126,valve_0008_lidar_classes.ply
3,57,tube,ball_pivoting,0.9038349553118774,0.07499615753534103,0.021168887152781552,0.08692216680902026,0.9216032685998907,2,0.007266515800813981,0.04785206206601021,0.021611993943349412,1,False,57,81,valve_0008_lidar_classes.ply
5,1695,complex,poisson,0.35026327455065104,0.5903751844304601,0.05936154101888875,0.09831316513236116,0.8155067118499648,1,0.017036867516448118,0.13131887617988366,0.06411430702821443,5,False,6659,13151,valve_0008_lidar_classes.ply
6,238,complex,poisson,0.09207330645257039,0.3487270914731736,0.559199602074256,0.07073248929526019,0.9036588400920248,17,0.03721724652379951,0.14698212374459463,0.10726895336187126,3,False,3978,7580,valve_0008_lidar_classes.ply
7,70,tube,ball_pivoting,0.9679995721045141,0.006187144870437421,0.025813283025048428,0.09996368585015257,0.8499413865993597,2,0.013481990594983504,0.030820632478453555,0.02072373531453743,2,False,70,72,valve_0008_lidar_classes.ply
