file,label,n_points,density_qual,mean_neighbor_dist,uniformity,shape_type,elongation,surface_class,mean_curvature,curvature_std,normals_consistency,mean_normal_angle_deg,n_components,isolated_clusters,integrity,integrity_qual
valve_0001_lidar_classes.ply,2,519,medium,0.12765079034052373,0.41756112468797757,volumetric,2.492820987113276,slightly curved,0.05904210578704996,0.037487777000628685,medium (cylindrical/spherical),28.288040852401156,19,3,0.11560693641618497,fragmented or many components
valve_0001_lidar_classes.ply,3,79,low,0.12313037380557282,0.37435790285137144,linear,40.73444663123729,slightly curved,0.05014300548485534,0.031812396665405814,medium (cylindrical/spherical),23.782427334223527,1,0,1.0,highly intact (one main component)
valve_0001_lidar_classes.ply,5,1695,medium,0.11007412128028045,0.3705359662352235,planar,16.24614818159992,slightly curved,0.07411104356365586,0.047493686281247456,low (complex/noisy),34.482164587570956,3,2,0.9982300884955753,highly intact (one main component)
valve_0001_lidar_classes.ply,6,430,medium,0.1315182535923338,0.7706127825327607,volumetric,1.5561142930256275,slightly curved,0.06830666578121729,0.04420964938641759,low (complex/noisy),32.18720030212676,24,10,0.1325581395348837,fragmented or many components
valve_0001_lidar_classes.ply,7,100,low,0.1205591906725959,0.3637100329498657,linear,53.25987457256701,slightly curved,0.06459027488532217,0.037914688013194066,low (complex/noisy),30.15717498605627,2,0,0.59,fragmented or many components
valve_0001_lidar_classes.ply,8,1601,medium,0.11609978569210914,0.41220841133068087,planar,22.444984063446213,slightly curved,0.05581437380539455,0.041951431187854105,medium (cylindrical/spherical),24.417577869163456,11,8,0.9319175515302935,mostly intact with small outliers
valve_0001_lidar_classes.ply,9,2209,medium,0.10560329618520026,0.3749505757000408,planar,18.945263117751175,slightly curved,0.05274018124503598,0.04082223207888118,medium (cylindrical/spherical),23.789496719626797,6,4,0.9932095971027615,highly intact (one main component)
valve_0001_lidar_classes.ply,10,3683,medium,0.1016342818908666,0.4147057946394511,volumetric,2.120553824671014,slightly curved,0.042400069630988135,0.039285728230585966,medium (cylindrical/spherical),17.77395290967079,24,17,0.975291881618246,mostly intact with small outliers
valve_0001_lidar_classes.ply,11,773,medium,0.11735658163538921,0.38730204153164877,planar,35.57248524320719,slightly curved,0.03454575054767294,0.032221499073679986,medium (cylindrical/spherical),16.359510488892454,5,4,0.9922380336351876,highly intact (one main component)
valve_0001_lidar_classes.ply,12,1260,medium,0.1122620620619391,0.317620028728969,planar,12.264435896324102,slightly curved,0.043747909009172914,0.03698365927859244,medium (cylindrical/spherical),18.43495421720996,3,2,0.9984126984126984,highly intact (one main component)
valve_0001_lidar_classes.ply,13,738,medium,0.10597916067534972,0.2958114902095904,volumetric,2.3268832075281884,slightly curved,0.07334231099881383,0.049094910129603736,medium (cylindrical/spherical),28.6343544046961,3,2,0.9959349593495935,highly intact (one main component)
valve_0002_lidar_classes.ply,2,659,medium,0.13194506438487352,0.430700052328275,volumetric,2.09769809059052,slightly curved,0.05847827371619562,0.037739866517593104,low (complex/noisy),30.497307563743647,24,6,0.10773899848254932,fragmented or many components
valve_0002_lidar_classes.ply,3,41,low,0.14565041695684078,0.4011448528003512,linear,83.71042678913874,slightly curved,0.042875973721920854,0.0257298717042618,medium (cylindrical/spherical),18.0369212665356,2,0,0.5365853658536586,fragmented or many components
valve_0002_lidar_classes.ply,5,1713,medium,0.10849364901810359,0.3755721275310353,planar,13.115884070418415,slightly curved,0.06790244278699896,0.04305759744184738,low (complex/noisy),32.87816887254618,5,4,0.997081144191477,highly intact (one main component)
valve_0002_lidar_classes.ply,6,529,medium,0.14273808070019675,0.6267151831107264,volumetric,2.4439248767099824,slightly curved,0.05229463672410594,0.03513581033557071,medium (cylindrical/spherical),25.395866672435805,29,10,0.10775047258979206,fragmented or many components
valve_0002_lidar_classes.ply,7,81,low,0.1324214399339449,0.35187034481733526,linear,52.84100996921288,slightly curved,0.05828644273950521,0.03500680231383368,low (complex/noisy),29.176342213994907,2,0,0.7037037037037037,fragmented or many components
valve_0002_lidar_classes.ply,8,1918,medium,0.10675668531705756,0.38957288449260924,planar,22.342127158453952,slightly curved,0.049838646121331466,0.040114532306252317,medium (cylindrical/spherical),21.718170196806852,12,8,0.9859228362877998,mostly intact with small outliers
valve_0002_lidar_classes.ply,9,1769,medium,0.11556626256105408,0.3797928566765017,planar,15.915319522932382,slightly curved,0.059021818557584954,0.045080905414983344,medium (cylindrical/spherical),25.52251518766308,7,5,0.9932165065008479,highly intact (one main component)
valve_0002_lidar_classes.ply,10,3524,medium,0.10245397726164424,0.38336296135651293,volumetric,2.0159141363044952,slightly curved,0.04232526903527046,0.04140688350596683,medium (cylindrical/spherical),17.0141669563118,17,15,0.9931895573212258,highly intact (one main component)
valve_0002_lidar_classes.ply,11,561,medium,0.12329117275167964,0.431472922685108,planar,45.68820282698127,slightly curved,0.03642681014120016,0.03321598651159141,medium (cylindrical/spherical),17.092000615126718,9,3,0.37076648841354726,fragmented or many components
valve_0002_lidar_classes.ply,12,1250,medium,0.11568876692094698,0.3823424109785046,planar,14.663497688789054,slightly curved,0.04577617879418554,0.03840007561302625,medium (cylindrical/spherical),19.706429405247327,9,7,0.9872,mostly intact with small outliers
valve_0002_lidar_classes.ply,13,741,medium,0.10744971305230935,0.3205005548775391,volumetric,2.436456368316978,slightly curved,0.0635836418336711,0.043341515911375986,medium (cylindrical/spherical),25.38431233431876,5,4,0.9919028340080972,highly intact (one main component)
valve_0003_lidar_classes.ply,2,673,medium,0.1245837454612159,0.3859132604636207,volumetric,2.549347103610546,slightly curved,0.05467389194177279,0.035566571036139284,low (complex/noisy),29.29753346052292,20,4,0.09361069836552749,fragmented or many components
valve_0003_lidar_classes.ply,3,70,low,0.1289119343972162,0.3580707262814922,linear,42.29812872090366,slightly curved,0.04106061695277586,0.024839202402515907,medium (cylindrical/spherical),23.038761491391387,1,0,1.0,highly intact (one main component)
valve_0003_lidar_classes.ply,5,1697,medium,0.1097025159937795,0.35041974709707235,planar,14.564585522845531,slightly curved,0.0690415125376008,0.04503016215334651,low (complex/noisy),33.74725484216054,2,1,0.9994107248084856,highly intact (one main component)
valve_0003_lidar_classes.ply,6,370,medium,0.14195994934487896,0.7629698237875616,volumetric,2.536113553666391,slightly curved,0.06466003172754231,0.04190764218719596,low (complex/noisy),29.40053839852824,29,10,0.0918918918918919,fragmented or many components
valve_0003_lidar_classes.ply,7,77,low,0.13364021523843883,0.3909060333618375,linear,47.83938300603995,slightly curved,0.04481902022434528,0.03470622660194783,medium (cylindrical/spherical),27.478471061762654,3,1,0.6883116883116883,fragmented or many components
valve_0003_lidar_classes.ply,8,1659,medium,0.1155945117687531,0.4210085209464865,planar,23.172042001549205,slightly curved,0.052642114117156025,0.03997011828304798,medium (cylindrical/spherical),23.291572132488504,9,8,0.9933694996986137,highly intact (one main component)
valve_0003_lidar_classes.ply,9,1908,medium,0.10758714939332042,0.3585822803333289,planar,20.91337803704723,slightly curved,0.0550344779281803,0.042095690541018166,medium (cylindrical/spherical),24.385947226280617,7,6,0.9963312368972747,highly intact (one main component)
valve_0003_lidar_classes.ply,10,3954,medium,0.10008217823168092,0.44351448967623347,volumetric,2.285405554906247,slightly curved,0.04339779886606515,0.04279633761440115,medium (cylindrical/spherical),17.859232785336083,35,31,0.9835609509357612,mostly intact with small outliers
valve_0003_lidar_classes.ply,11,611,medium,0.12145588280658687,0.48945299802254505,planar,40.6505216721531,slightly curved,0.032145155699671794,0.029744366969498247,medium (cylindrical/spherical),15.450453642126233,8,5,0.4909983633387889,fragmented or many components
valve_0003_lidar_classes.ply,12,1473,medium,0.11343786352421104,0.3661159600219435,planar,14.326440462561404,slightly curved,0.04852187556500788,0.039076437877360516,medium (cylindrical/spherical),20.25617700344484,5,3,0.9952477936184657,highly intact (one main component)
valve_0003_lidar_classes.ply,13,735,medium,0.10643698886402617,0.3063019172680211,volumetric,2.216396770330325,slightly curved,0.06921816720021504,0.04837230133526564,medium (cylindrical/spherical),28.430100039493876,1,0,1.0,highly intact (one main component)
valve_0004_lidar_classes.ply,2,332,medium,0.14902892789928288,1.002292151938718,volumetric,4.315479637041865,slightly curved,0.05813749772539667,0.044785723793356685,medium (cylindrical/spherical),28.36554210069958,18,6,0.14457831325301204,fragmented or many components
